"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.115789070E-1,6.719320081E-3,3.970507067E-3,6.719320081E-3,1.029871114E-2
3.138819800E-1,7.941014133E-3,5.192201585E-3,7.941014133E-3,1.237248432E-2
3.161850530E-1,5.344913341E-3,6.413896102E-3,9.162709117E-3,1.239602356E-2
3.184881260E-1,5.344913341E-3,7.635590620E-3,1.038440317E-2,1.395371534E-2
3.207911980E-1,6.719320081E-3,7.635590620E-3,1.038440317E-2,1.453572618E-2
3.230942710E-1,4.123218823E-3,8.857285604E-3,1.160609815E-2,1.517082582E-2
3.253973440E-1,1.679830020E-3,3.970507067E-3,1.038440317E-2,1.124377981E-2
3.277004170E-1,2.901524538E-3,6.413896102E-3,7.941014133E-3,1.061209750E-2
3.300034900E-1,4.123218823E-3,7.635590620E-3,5.497625098E-3,1.027263643E-2
3.323065630E-1,1.679830020E-3,3.970507067E-3,5.497625098E-3,6.986460977E-3
3.346096360E-1,1.679830020E-3,6.413896102E-3,5.497625098E-3,8.613000280E-3
3.369127090E-1,-7.635590737E-4,5.192201585E-3,5.344913341E-3,7.490666084E-3
3.392157820E-1,-1.985253533E-3,5.192201585E-3,2.901524538E-3,6.270489098E-3
3.415188550E-1,-7.635590737E-4,2.748812549E-3,1.679830020E-3,3.310713184E-3
3.438219280E-1,-2.137965523E-3,-9.162708884E-4,1.679830020E-3,2.869194628E-3
3.461250010E-1,-3.359660041E-3,2.748812549E-3,1.679830020E-3,4.654579993E-3
3.484280730E-1,-3.359660041E-3,-9.162708884E-4,4.581354442E-4,3.512371850E-3
3.507311460E-1,-2.137965523E-3,3.054236295E-4,1.679830020E-3,2.736057212E-3
3.530342190E-1,-3.359660041E-3,3.054236295E-4,4.581354442E-4,3.404480469E-3
3.553372920E-1,-7.635590737E-4,3.054236295E-4,4.581354442E-4,9.413788492E-4
3.576403650E-1,-7.635590737E-4,1.527118147E-3,4.581354442E-4,1.767767061E-3
3.599434380E-1,-3.359660041E-3,-9.162708884E-4,-7.635590737E-4,3.565093321E-3
3.622465110E-1,-1.985253533E-3,2.748812549E-3,4.581354442E-4,3.421562524E-3
3.645495840E-1,-3.359660041E-3,1.527118147E-3,-1.985253533E-3,4.190541375E-3
3.668526570E-1,-1.985253533E-3,1.527118147E-3,4.581354442E-4,2.546214742E-3
3.691557300E-1,4.581354442E-4,1.527118147E-3,4.581354442E-4,1.658874922E-3
3.714588030E-1,1.679830020E-3,1.527118147E-3,-7.635590737E-4,2.395191264E-3
3.737618760E-1,1.679830020E-3,1.527118147E-3,-7.635590737E-4,2.395191264E-3
3.760649480E-1,2.901524538E-3,1.527118147E-3,1.832541777E-3,3.756214031E-3
3.783680210E-1,2.901524538E-3,3.970507067E-3,1.832541777E-3,5.248045386E-3
3.806710940E-1,2.901524538E-3,3.970507067E-3,6.108472589E-4,4.955492446E-3
3.829741670E-1,4.123218823E-3,5.039489828E-3,1.832541777E-3,6.764288622E-3
3.852772400E-1,5.344913341E-3,3.970507067E-3,4.275931045E-3,7.913065859E-3
3.875803130E-1,5.344913341E-3,5.039489828E-3,1.832541777E-3,7.571179942E-3
3.898833860E-1,4.123218823E-3,5.192201585E-3,4.275931045E-3,7.889453534E-3
3.921864590E-1,4.123218823E-3,3.970507067E-3,3.054236295E-3,6.488005793E-3
3.944895320E-1,2.901524538E-3,5.192201585E-3,5.497625098E-3,8.099486629E-3
3.967985820E-1,2.901524538E-3,6.413896102E-3,6.719320081E-3,9.731709522E-3
3.991016550E-1,4.123218823E-3,5.192201585E-3,7.941014133E-3,1.034502761E-2
4.014046240E-1,6.566607859E-3,5.192201585E-3,1.038440317E-2,1.333848287E-2
4.037076960E-1,5.344913341E-3,6.413896102E-3,1.038440317E-2,1.332448840E-2
4.060107690E-1,4.123218823E-3,3.970507067E-3,7.941014133E-3,9.789053340E-3
4.083138420E-1,5.344913341E-3,1.527118147E-3,7.941014133E-3,9.693291181E-3
4.106169150E-1,7.941014133E-3,3.054236295E-4,5.497625098E-3,9.663170845E-3
4.129199880E-1,7.941014133E-3,1.527118147E-3,5.497625098E-3,9.778326903E-3
4.152230610E-1,6.566607859E-3,1.527118147E-3,4.275931045E-3,7.983483883E-3
4.175261340E-1,5.344913341E-3,1.527118147E-3,3.054236295E-3,6.342597875E-3
4.198292070E-1,4.123218823E-3,1.527118147E-3,1.832541777E-3,4.763531533E-3
4.221322800E-1,5.344913341E-3,1.527118147E-3,3.054236295E-3,6.342597875E-3
4.244353530E-1,5.344913341E-3,1.527118147E-3,6.108472589E-4,5.592255612E-3
4.267384260E-1,4.123218823E-3,1.527118147E-3,1.832541777E-3,4.763531533E-3
4.290414990E-1,4.123218823E-3,1.527118147E-3,1.832541777E-3,4.763531533E-3
4.313445710E-1,6.566607859E-3,1.527118147E-3,6.108472589E-4,6.769458101E-3
4.336476440E-1,4.123218823E-3,2.748812549E-3,6.108472589E-4,4.992998925E-3
4.359507170E-1,4.123218823E-3,2.748812549E-3,1.832541777E-3,5.283475490E-3
4.382537900E-1,5.344913341E-3,3.054236295E-4,-6.108472589E-4,5.388368639E-3
4.405568630E-1,-7.635590737E-4,1.527118147E-3,1.679830020E-3,2.395191264E-3
4.428599360E-1,4.581354442E-4,3.054236295E-4,4.581354442E-4,7.162819025E-4
4.451630090E-1,-7.635590737E-4,3.054236295E-4,4.581354442E-4,9.413788492E-4
4.474660820E-1,-2.137965523E-3,3.054236295E-4,-7.635590737E-4,2.290677330E-3
4.497691550E-1,-7.635590737E-4,3.054236295E-4,-1.985253533E-3,2.148845654E-3
4.520722280E-1,-7.635590737E-4,-9.162708884E-4,-1.985253533E-3,2.315989290E-3
4.543753010E-1,-4.581354558E-3,-9.162708884E-4,-7.635590737E-4,4.734066369E-3
4.566783740E-1,-4.581354558E-3,3.054236295E-4,-1.985253533E-3,5.002331934E-3
4.589814460E-1,-3.359660041E-3,3.054236295E-4,-7.635590737E-4,3.458846866E-3
4.612845190E-1,-4.581354558E-3,3.054236295E-4,-7.635590737E-4,4.654580072E-3
4.635875920E-1,-3.359660041E-3,3.054236295E-4,-1.985253533E-3,3.914311022E-3
4.658906650E-1,-3.359660041E-3,3.970507067E-3,4.581354442E-4,5.221314972E-3
4.681937380E-1,-7.635590737E-4,3.970507067E-3,-7.635590737E-4,4.114726149E-3
4.704968110E-1,4.581354442E-4,3.054236295E-4,4.581354442E-4,7.162819025E-4
4.727998840E-1,1.679830020E-3,-2.137965523E-3,4.581354442E-4,2.757283728E-3
4.751029570E-1,1.679830020E-3,-2.137965523E-3,1.679830020E-3,3.196021647E-3
4.774060300E-1,4.581354442E-4,-2.137965523E-3,4.581354442E-4,2.233981367E-3
4.797091030E-1,1.679830020E-3,-2.137965523E-3,2.901524538E-3,3.976376506E-3
4.820121760E-1,2.901524538E-3,-9.162708884E-4,4.123218823E-3,5.124385861E-3
4.843152490E-1,4.123218823E-3,-9.162708884E-4,2.901524538E-3,5.124385861E-3
4.866183210E-1,4.123218823E-3,-3.359660041E-3,2.901524538E-3,6.058637941E-3
4.889213940E-1,4.123218823E-3,-1.985253533E-3,6.566607859E-3,8.003905536E-3
4.912244670E-1,4.123218823E-3,-9.162708884E-4,4.123218823E-3,5.902662049E-3
4.935275400E-1,2.901524538E-3,-9.162708884E-4,6.566607859E-3,7.237315508E-3
4.958306650E-1,5.344913341E-3,6.413896102E-3,1.038440317E-2,1.332448840E-2
4.981336860E-1,4.123218823E-3,7.635590620E-3,1.527118124E-2,1.756451406E-2
5.004368110E-1,4.123218823E-3,1.007897966E-2,1.771457121E-2,2.079405678E-2
5.027398840E-1,4.123218823E-3,1.252236869E-2,1.664558798E-2,2.123408228E-2
5.050429570E-1,5.344913341E-3,8.857285604E-3,1.404948719E-2,1.744728337E-2
5.073460300E-1,6.719320081E-3,7.635590620E-3,1.160609815E-2,1.543220726E-2
5.096491030E-1,9.162709117E-3,7.635590620E-3,1.298050396E-2,1.762812995E-2
5.119521760E-1,7.941014133E-3,7.635590620E-3,1.298050396E-2,1.702514119E-2
5.142552490E-1,4.123218823E-3,7.635590620E-3,1.282779220E-2,1.548726672E-2
5.165583210E-1,4.123218823E-3,8.857285604E-3,1.160609815E-2,1.517082582E-2
5.188613940E-1,4.123218823E-3,6.413896102E-3,1.282779220E-2,1.492284321E-2
5.211644670E-1,5.344913341E-3,6.413896102E-3,1.282779220E-2,1.530550276E-2
5.234675400E-1,4.123218823E-3,6.413896102E-3,1.404948719E-2,1.598521464E-2
5.257706130E-1,4.123218823E-3,6.413896102E-3,1.282779220E-2,1.492284321E-2
5.280736860E-1,2.901524538E-3,5.192201585E-3,1.282779220E-2,1.413966247E-2
5.303767590E-1,2.901524538E-3,5.344913341E-3,1.404948719E-2,1.530931199E-2
5.326798320E-1,2.901524538E-3,6.413896102E-3,1.282779220E-2,1.463246940E-2
5.349829050E-1,2.901524538E-3,4.123218823E-3,1.282779220E-2,1.378303417E-2
5.372859780E-1,7.941014133E-3,2.901524538E-3,1.527118124E-2,1.745530082E-2
5.395890510E-1,5.344913341E-3,1.679830020E-3,1.404948719E-2,1.512540967E-2
5.418921240E-1,5.344913341E-3,4.581354442E-4,1.527118124E-2,1.618601134E-2
5.441951960E-1,4.123218823E-3,4.581354442E-4,1.649287529E-2,1.700663861E-2
5.464982690E-1,4.123218823E-3,1.679830020E-3,1.649287529E-2,1.708325782E-2
5.488013420E-1,5.344913341E-3,-1.985253533E-3,1.649287529E-2,1.745062365E-2
5.511044150E-1,2.901524538E-3,4.581354442E-4,1.649287529E-2,1.675242275E-2
5.534074880E-1,6.566607859E-3,-1.985253533E-3,1.527118124E-2,1.674128271E-2
5.557105610E-1,5.344913341E-3,-3.206948051E-3,1.404948719E-2,1.537012377E-2
5.580136340E-1,6.566607859E-3,-3.206948051E-3,1.404948719E-2,1.583644357E-2
5.603167070E-1,4.123218823E-3,-4.428642802E-3,1.389677543E-2,1.515698446E-2
5.626197800E-1,5.344913341E-3,-6.872031838E-3,1.145338640E-2,1.438655553E-2
5.649228530E-1,6.566607859E-3,-6.872031838E-3,1.145338640E-2,1.488372333E-2
5.672259260E-1,5.344913341E-3,-6.872031838E-3,1.145338640E-2,1.438655553E-2
5.695289990E-1,4.123218823E-3,-7.941014133E-3,1.267508045E-2,1.551509920E-2
